,id,name,neighbourhood,latitude,longitude,room_type,price,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,Term,Popularity
15010,757166643800641761,10 Terminal 21 Rama 3 公寓 wifi 泳池Gym,Bang Kho laen,13.69952,100.51595,Entire home/apt,829,1,2022-12-14,1.0,20,High,1,Long,Unpopuler
15011,760489837190350089,"Private local condo lodge, 5 mins to BTS Udomsuk",Bang Na,13.67936,100.61403,Entire home/apt,580,0,1970-01-01,0.0,18,High,0,Short,Unpopuler
15012,757511805539046082,31fl-2 bedroom Pratunum Luxury Condo next to Siam,Ratchathewi,13.75052,100.5395,Entire home/apt,3500,0,1970-01-01,0.0,6,High,0,Short,Unpopuler
15013,760496214210326708,STAY-DIUM House @Huamark (Entire),Bang Kapi,13.753196439419762,100.62717278836055,Entire home/apt,3909,1,2022-12-12,1.0,32,High,1,Short,Unpopuler
15014,757667534626950231,Pool&Gym#BTS Ekkamai/Gateway4mins walk#Max2ppl(10),Khlong Toei,13.71637,100.58362,Entire home/apt,3123,6,2022-12-15,4.09,35,Low,6,Short,Populer
15015,760528361670566933,Service apartment close to airport and trains.,Don Mueang,13.91518,100.59106,Entire home/apt,600,0,1970-01-01,0.0,1,Low,0,Short,Unpopuler
15016,762541307091320492,"Warm, convenient transportation and swimming pool.",Thon buri,13.72107,100.49264,Entire home/apt,600,0,1970-01-01,0.0,6,High,0,Long,Unpopuler
15017,762570377422369324,DeluxeRoom KingBed CityCenter,Vadhana,13.73335150050803,100.56714524603272,Private room,1859,0,1970-01-01,0.0,6,High,0,Short,Unpopuler
15018,762575767506058648,PremierRoom KingBed CityCenter,Vadhana,13.733309812062863,100.5671613392868,Private room,2209,0,1970-01-01,0.0,6,High,0,Short,Unpopuler
15019,760560981679559228,1BR Condo Fully furnished- Free Wi-Fi -Internet TV,Bang Kapi,13.74809783417674,100.60562390133056,Entire home/apt,1017,1,2022-11-28,1.0,2,High,1,Short,Unpopuler
15020,762578571172294581,"Private-Cozy Room, Formosa Ratchayothin, BKK",Chatu Chak,13.8248547,100.5692295,Private room,1200,0,1970-01-01,0.0,5,Low,0,Long,Unpopuler
15021,762630175838071003,Private&cozy room bangkapi mall,Bang Kapi,13.76786,100.63878,Private room,399,0,1970-01-01,0.0,7,High,0,Short,Unpopuler
15022,762635606750712135,เอื้ออาทรลาดกระบัง1 ตึก5 ชั้น1,Lat Krabang,13.71701,100.80169,Private room,590,0,1970-01-01,0.0,1,Low,0,Short,Unpopuler
15023,762657643111060575,city center/ASOK/ 2PPL 1BR/pool/GYM/T21/Sukhumvit,Khlong Toei,13.722985,100.56114,Entire home/apt,1919,0,1970-01-01,0.0,3,High,0,Short,Unpopuler
15024,762676451460484100,Large 70sqm Suite with Sofa room & Ergonomic desk,Vadhana,13.7323,100.58265,Entire home/apt,7157,0,1970-01-01,0.0,34,Low,0,Short,Unpopuler
15025,762686947667922493,B6 11 Luxury Condo in Heart of Bangkok,Khlong Toei,13.72406,100.5651,Entire home/apt,1928,3,2022-12-23,3.0,18,High,3,Short,Populer
15026,762709850596054088,Corner Suite*Fully equipped Kitchenette*Breakfast,Vadhana,13.73122,100.58281,Entire home/apt,8092,0,1970-01-01,0.0,34,Low,0,Short,Unpopuler
15027,760585554882159678,STAY-DIUM House @Huamark - SD1,Bang Kapi,13.753712289614777,100.62706549999996,Private room,2109,0,1970-01-01,0.0,32,High,0,Short,Unpopuler
15028,760654021866455641,STAY-DIUM House @Huamark - SD2 (Front),Bang Kapi,13.753003646630836,100.6272157037048,Private room,1209,0,1970-01-01,0.0,32,High,0,Short,Unpopuler
15029,760681849063018860,HPZP_216_Ploenchit&Nana BTS/roof pool/48sqm/500WFi,Khlong Toei,13.739727026099326,100.55188227116392,Entire home/apt,1957,0,1970-01-01,0.0,33,High,0,Short,Unpopuler
15030,760682916002769317,"Room w/ hi-speed wifi,washer near Bangkok Hospital",Huai Khwang,13.75158,100.58937,Entire home/apt,770,1,2022-12-04,1.0,12,Low,1,Short,Unpopuler
15031,760723498581851056,Condo near BTS/IconSiam/Central World/Paragon,Khlong San,13.722793437117268,100.49902806990124,Private room,471,1,2022-11-30,1.0,2,High,1,Short,Unpopuler
15032,762715956309869522,Siamese Sukhumvit 48-1 BR,Khlong Toei,13.7113918,100.5940541,Private room,2984,0,1970-01-01,0.0,1,High,0,Short,Unpopuler
15033,762746521857654289,Family*2 ensuite bedrooms*Living room*Kitchenette,Vadhana,13.73132,100.5831,Entire home/apt,13107,0,1970-01-01,0.0,34,Low,0,Short,Unpopuler
15034,760727957982772821,28曼谷城市中心/素万那普机场直达/靠近机场快线和bts phayathai站/一房一厅高级公寓/,Ratchathewi,13.75853,100.53498,Entire home/apt,1771,0,1970-01-01,0.0,29,Low,0,Long,Unpopuler
15035,762752989217614097,1BR Twin Suit 2ppl/Surasak BTS Sathorn/Pool /WIFI,Sathon,13.71075,100.520106,Entire home/apt,3000,1,2022-11-30,1.0,3,High,1,Short,Unpopuler
15036,762776974709383625,1 Bedroom Central City/King Bed,Vadhana,13.73437,100.58218,Entire home/apt,2622,0,1970-01-01,0.0,14,High,0,Short,Unpopuler
15037,760754030005377094,Subway MRT Huaikhwang /Charming Place/1 Bedroom,Huai Khwang,13.77945,100.57483,Entire home/apt,1790,1,2022-11-27,0.94,1,High,1,Short,Unpopuler
15038,762779195891706138,Heart of Bkk/City Luxury Condo/Free Airport Pickup,Vadhana,13.73622,100.58454,Entire home/apt,2429,1,2022-12-07,1.0,14,High,1,Short,Unpopuler
15039,762781870606810664,Comfy Studio/Sky Pool/5mins from MRT Rama9,Ratchathewi,13.7541882,100.5632693,Entire home/apt,1200,2,2022-12-26,2.0,12,Low,2,Short,Populer
15040,760814416412521998,Bkk/BTS Surasak/温馨公寓01/免费泳池/健身房/WIFI/免费停车,Sathon,13.71399,100.53242,Entire home/apt,1184,1,2022-12-07,1.0,7,High,1,Short,Unpopuler
15041,760815416903378335,Bkk/BTS Surasak/温馨loft公寓4/免费泳池/健身房/WIFI/免费停车,Sathon,13.71413,100.53397,Entire home/apt,1362,1,2022-12-22,1.0,7,High,1,Short,Unpopuler
